"CanvasID","LeadID","AgentID","DivisionID","Company","Contact","ContactNo","Email","PositionID","IndustryID","Status","NextContactDate","NextActionID","DateCreated","CreatedBy","LastModified","ModifiedBy","isLocked","EntityID"
"37","","1","","lloyd","lloyd dreghorn","076 1044567","lloyddreghorn@test.com","","","","","","","","","","0",""
"38","78","1","5830","A && G Consultants","thyyffhhygh","654654654","jkkljlkj@hgjgjh.no","","","","2011-12-22 00:00:00","6292","2011-12-19 16:39:58","1","","","1","66336"
"39","85","1","5830","1 Military Hospital Pretoria","jhkhkjhkjh","8529657569685","jhgkjhkj@werf.com","","","","2011-12-21 00:00:00","6292","2011-12-20 08:35:27","1","","","1","66696"
"40","","1","","Louise testing","Louise Testing","65555555555587","testing@fusion.co.za","","","","","","","","","","0",""
"41","81","1","5830","Testing Fusion","Louise de Jager","123456","Louise@bloem.co.za","","","","2011-12-23 00:00:00","6292","2011-12-22 09:59:35","1","","","1","66820"
"42","84","1","5830","Blue Twist Media","regfjgfjf","343543543543","jfjfjfhjfjfjfjfjf","","","","2011-12-23 00:00:00","","2011-12-22 11:45:47","1","","","1","66821"
"43","86","1","5830","Ackerman Mr R","Thuenis","1234567","thuenis@fusion.co.za","","","","2011-12-23 00:00:00","","2011-12-22 11:50:23","1","","","1","66332"
"44","87","1","5830","Airports Company South Africa Limited","Koos","123456789","Koos@somthing.co.za","","","","2011-12-23 00:00:00","","2011-12-22 11:55:16","1","","","1","66544"
"45","93","1","5830","Demo Canvas","Canvas Client","011 1234567","Demo@Canvas.co.za","","","","2012-01-18 00:00:00","","2012-01-17 17:26:36","1","","","1",""
"46","95","1","5830","ACME","You","011 123 4567","you@acme.co.za","","","","2012-02-03 00:00:00","","2012-02-02 19:16:29","1","","","1",""
"47","","1","","ACME","You ","011 123 4567","you@acme.co.za","","","","","","","","","","0",""
