"CanvasContactID","CanvasID","FirstName","Surname","Phone1","Cell","Email"
"2","7","Ihsaan","essakage","0782312170","0782312170","ihsaane@fusionsoftware.co.za"
"3","7","Chad","Mortlock","test","",""
"4","10","Julian","Mostert","0861FUSION","","test"
"6","28","Richard","Cock","0861COCK","","Cock@bs.com"
"9","36","Test","Contact 2","0115555555","0725555555","Test2@email.com"
"10","39","skdjflsdkjflk","ldkjlkj","8\87\6767687657","4\67687876768","6576767466\\\987\686"
"11","40","uykhgkjhg","jhj","859674965965","951852852852","1234567890"
"12","41","Koos","Erasmus","12345678","12345678","koos@erasmus.com"
"13","46","Me","Too","011 756 4555","","MeTo@Acme.co.za"
"5","12","Julian","Mostert","test","",""
"7","35","Another","Contact","0118989889","0721345678","test@company.com"
"8","35","Again","And Again","011","072","email"
