"LeadContactID","LeadID","FirstName","Surname","Phone1","Cell","Email"
"2","72","Test","Contact","011-123-4567","",""
"3","95","Me","Too","011 756 4555","","MeTo@Acme.co.za"
"4","100","Bob","Jones","011-234-5648","","wsfs@asdf.co.za"
"5","100","John","Smith","123123312","","sdgfasd@asdgf.co.za"
"6","100","Jane","Smith","123123312","","sdgfasd@asdgf.co.za"
"7","81","Louise","de Jager","123456","","Louise@bloem.co.za"
"8","97","Some","Guy","011 123 4567","","SomeGuy@LIT.co.za"
"11","75","Malcolm","Holmond","0124567789","0465589966","ekamarfo@gmail.com"
"12","71","Test","Test","011 123 1234","","test@test.co.za"
"9","80","Test fusion","Test","+27 11 123 4567","564654654654","564647+654+64654"
"10","82","Louise","De Jager","12345678","123456789","slkdjf;lk@loie.com"
